idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1380,113.0,-21.918557339453887,-44.93970231495834,-15,3.137383081048563,-1.530203971442555,0,0.10682839011506348,0.21903065864264612,0,0,70,nan,nan,nan
1381,113.1,-21.604287440099153,-45.09162632025567,-15,3.147989377469586,-1.5082637935079497,0,0.10529667674133439,0.2197711178186035,0,0,70,nan,nan,nan
1382,113.2,-21.288964578253648,-45.24135262330097,-15,3.1584422453295034,-1.4862501049238888,0,0.10375983135613218,0.2205008656603293,0,0,70,nan,nan,nan
1383,113.30000000000001,-20.972604122308848,-45.38887392664543,-15,3.16874117517028,-1.4641639786064997,0,0.10221792886313294,0.2212198666009431,0,0,70,nan,nan,nan
1384,113.4,-20.655221491227103,-45.534183040308854,-15,3.1788856650366055,-1.442006491002424,0,0.10067104441248914,0.22192808559735341,0,0,70,nan,nan,nan
1385,113.5,-20.336832153790006,-45.67727288213005,-15,3.1888752205003565,-1.4197787220363416,0,0.09911925339716614,0.2226254881319656,0,0,70,nan,nan,nan
1386,113.6,-20.01745162784472,-45.818136478111995,-15,3.1987093546846923,-1.397481755058356,0,0.09756263144926894,0.22331204021436396,0,0,70,nan,nan,nan
1387,113.7,-19.69709547954755,-45.956766962761726,-15,3.2083875882877857,-1.3751166767911844,0,0.09600125443635545,0.22398770838296847,0,0,70,nan,nan,nan
1388,113.80000000000001,-19.375779322605123,-46.09315757942504,-15,3.217909449606186,-1.3526845772771838,0,0.09443519845773812,0.224652459706666,0,0,70,nan,nan,nan
1389,113.9,-19.053518817513698,-46.22730168061566,-15,3.227274474557806,-1.3301865498252425,0,0.09286453984077635,0.22530626178641472,0,0,70,nan,nan,nan
1390,114.0,-18.730329670795616,-46.359192728339366,-15,3.2364822067045402,-1.3076236909574763,0,0.09128935513715505,0.22594908275682368,0,0,70,nan,nan,nan
1391,114.1,-18.40622763423389,-46.488824294412574,-15,3.2455321972745166,-1.2849971003557916,0,0.08970972111915425,0.22658089128770578,0,0,70,nan,nan,nan
1392,114.2,-18.081228504104626,-46.6161900607756,-15,3.254424005183959,-1.262307880808299,0,0.08812571477590783,0.22720165658560437,0,0,70,nan,nan,nan
1393,114.30000000000001,-17.755348120406843,-46.74128381980073,-15,3.2631571970586983,-1.239557138155544,0,0.0865374133096499,0.22781134839529485,0,0,70,nan,nan,nan
1394,114.4,-17.428602366090733,-46.86409947459459,-15,3.271731347255281,-1.2167459812366295,0,0.08494489413195333,0.2284099370012584,0,0,70,nan,nan,nan
1395,114.5,-17.10100716628347,-46.98463103929541,-15,3.28014603788172,-1.1938755218351678,0,0.08334823485995654,0.22899739322913068,0,0,70,nan,nan,nan
1396,114.6,-16.77257848751276,-47.10287263936483,-15,3.288400858817872,-1.1709468746250733,0,0.08174751331257907,0.22957368844712428,0,0,70,nan,nan,nan
1397,114.7,-16.44333233692915,-47.218818511874055,-15,3.2964954077354056,-1.147961157116269,0,0.0801428075067313,0.23013879456742312,0,0,70,nan,nan,nan
1398,114.80000000000001,-16.113284761525563,-47.33246300578482,-15,3.3044292901174277,-1.1249194896002015,0,0.07853419565351051,0.23069268404755214,0,0,70,nan,nan,nan
1399,114.9,-15.78245184735511,-47.44380058222483,-15,3.312202119277704,-1.1018229950952327,0,0.07692175615438857,0.23123532989171952,0,0,70,nan,nan,nan
1400,115.0,-15.450849718747378,-47.552825814757675,-15,3.319813516379506,-1.0786727992919263,0,0.07530556759739229,0.23176670565213234,0,0,70,nan,nan,nan
1401,115.1,-15.118494537522253,-47.65953338964734,-15,3.3272631104540786,-1.0554700304981628,0,0.07368570875327163,0.23228678543028575,0,0,70,nan,nan,nan
1402,115.2,-14.785402502202341,-47.76391810611718,-15,3.3345505384187164,-1.032215819584156,0,0.07206225857166115,0.2327955438782251,0,0,70,nan,nan,nan
1403,115.30000000000001,-14.451589847223564,-47.86597487660337,-15,3.341675445094461,-1.008911299927342,0,0.07043529617723257,0.23329295619978135,0,0,70,nan,nan,nan
1404,115.4,-14.11707284214383,-47.965698727002874,-15,3.3486374832234116,-0.9855576073571342,0,0.06880490086583792,0.23377899815177966,0,0,70,nan,nan,nan
1405,115.5,-13.781867790849944,-48.06308479691595,-15,3.355436313485654,-0.962155880099555,0,0.06717115210064409,0.2342536460452211,0,0,70,nan,nan,nan
1406,115.6,-13.44599103076329,-48.15812833988291,-15,3.36207160451579,-0.9387072587217822,0,0.06553412950826144,0.23471687674643676,0,0,70,nan,nan,nan
1407,115.7,-13.10945893204322,-48.25082472361558,-15,3.3685430329190993,-0.915212886076535,0,0.06389391287486121,0.23516866767821606,0,0,70,nan,nan,nan
1408,115.80000000000001,-12.77228789678949,-48.34116943022298,-15,3.374850283287289,-0.8916739072463931,0,0.06225058214228834,0.23560899682090622,0,0,70,nan,nan,nan
1409,115.9,-12.434494358242722,-48.42915805643156,-15,3.3809930482138744,-0.8680914694879792,0,0.06060421740416452,0.23603784271348596,0,0,70,nan,nan,nan
1410,116.0,-12.096094779983389,-48.514786313799824,-15,3.3869710283091594,-0.8444667221760369,0,0.05895489890198423,0.23645518445461158,0,0,70,nan,nan,nan
1411,116.10000000000001,-11.757105655129482,-48.59805002892731,-15,3.3927839322148285,-0.8208008167474177,0,0.057302707021204206,0.23686100170363544,0,0,70,nan,nan,nan
1412,116.2,-11.417543505532791,-48.67894514365801,-15,3.3984314766181454,-0.7970949066449704,0,0.05564772228732625,0.23725527468159732,0,0,70,nan,nan,nan
1413,116.3,-11.077424880973389,-48.75746771527816,-15,3.4039133862657645,-0.7733501472613065,0,0.053990025361971214,0.23763798417218845,0,0,70,nan,nan,nan
1414,116.4,-10.736766358353162,-48.833613916708394,-15,3.409229393977142,-0.7495676958824962,0,0.05232969703894841,0.23800911152268825,0,0,70,nan,nan,nan
1415,116.5,-10.39558454088799,-48.90738003669028,-15,3.4143792406575617,-0.725748711631674,0,0.05066681824031832,0.23836863864487318,0,0,70,nan,nan,nan
1416,116.60000000000001,-10.053896057298191,-48.978762479967216,-15,3.4193626753107647,-0.7018943554125197,0,0.04900147001244699,0.23871654801589864,0,0,70,nan,nan,nan
1417,116.7,-9.711717560998622,-49.04775776745958,-15,3.424179455051172,-0.6780057898527168,0,0.04733373352205867,0.23905282267915248,0,0,70,nan,nan,nan
1418,116.8,-9.369065729286275,-49.11436253643443,-15,3.4288293451157372,-0.6540841792472368,0,0.0456636900522762,0.23937744624508223,0,0,70,nan,nan,nan
1419,116.9,-9.025957262527976,-49.178573540669305,-15,3.4333121188753797,-0.6301306895016295,0,0.04399142099866201,0.23969040289199328,0,0,70,nan,nan,nan
1420,117.0,-8.682408883346517,-49.2403876506104,-15,3.437627557846027,-0.6061464880752039,0,0.042317007865251416,0.23999167736682,0,0,70,nan,nan,nan
1421,117.10000000000001,-8.338437335805091,-49.29980185352525,-15,3.4417754516992756,-0.5821327439240916,0,0.04064053226057766,0.2402812549858697,0,0,70,nan,nan,nan
1422,117.2,-7.994059384591741,-49.35681325364939,-15,3.445755598272628,-0.55809062744431,0,0.038962075893696956,0.24055912163553758,0,0,70,nan,nan,nan
1423,117.3,-7.649291814201923,-49.41141907232764,-15,3.4495678035793578,-0.5340213104146956,0,0.03728172057020449,0.24082526377299532,0,0,70,nan,nan,nan
1424,117.4,-7.304151428120578,-49.46361664814942,-15,3.453211881817956,-0.5099259659398001,0,0.035599548188247884,0.24107966842685052,0,0,70,nan,nan,nan
1425,117.5,-6.958655048003247,-49.513403437078516,-15,3.4566876553811885,-0.4858057683927229,0,0.03391564073453606,0.24132232319777927,0,0,70,nan,nan,nan
1426,117.60000000000001,-6.612819512856118,-49.560777012577084,-15,3.459994954864757,-0.46166189335786695,0,0.032230080280342875,0.24155321625913043,0,0,70,nan,nan,nan
1427,117.7,-6.266661678215186,-49.60573506572389,-15,3.463133619075551,-0.4374955175736336,0,0.03054294897750648,0.24177233635750184,0,0,70,nan,nan,nan
1428,117.8,-5.920198415325043,-49.64827540532685,-15,3.466103495039503,-0.41330781887509094,0,0.028854329054426805,0.24197967281328908,0,0,70,nan,nan,nan
1429,117.9,-5.573446610316246,-49.68839595802982,-15,3.4689044380090506,-0.3890999761365434,0,0.02716430281205619,0.24217521552120583,0,0,70,nan,nan,nan
1430,118.0,-5.226423163382668,-49.72609476841367,-15,3.4715363114701825,-0.3648731692141004,0,0.025472952619889848,0.2423589549507763,0,0,70,nan,nan,nan
1431,118.10000000000001,-4.879144987957446,-49.761369999091556,-15,3.4739989871491015,-0.340628578888146,0,0.023780360911949575,0.24253088214679996,0,0,70,nan,nan,nan
1432,118.2,-4.531629009889001,-49.79421993079852,-15,3.476292345018469,-0.31636738680581494,0,0.022086610182767752,0.2426909887297879,0,0,70,nan,nan,nan
1433,118.3,-4.18389216661579,-49.82464296247521,-15,3.4784162733032558,-0.29209077542337886,0,0.02039178298336518,0.242839266896371,0,0,70,nan,nan,nan
1434,118.4,-3.8359514063409246,-49.85263761134601,-15,3.480370668486197,-0.2677999279486241,0,0.018695961917228297,0.24297570941968072,0,0,70,nan,nan,nan
1435,118.5,-3.487823687206279,-49.87820251299121,-15,3.4821554353128255,-0.24349602828319356,0,0.016999229636283853,0.24310030964970092,0,0,70,nan,nan,nan
1436,118.60000000000001,-3.1395259764656602,-49.901336421413575,-15,3.483770486796126,-0.2191802609648631,0,0.015301668836869058,0.24321306151359212,0,0,70,nan,nan,nan
1437,118.7,-2.791075249658203,-49.92203820909905,-15,3.485215744220767,-0.19485381110983352,0,0.013603362255702805,0.24331395951598767,0,0,70,nan,nan,nan
1438,118.8,-2.4424884897806978,-49.9403068670717,-15,3.4864911371469414,-0.17051786435494817,0,0.01190439266585169,0.2434029987392612,0,0,70,nan,nan,nan
1439,118.9,-2.0937826864599938,-49.95614150494292,-15,3.4875966034137966,-0.14617360679991595,0,0.010204842872696422,0.2434801748437666,0,0,70,nan,nan,nan
1440,119.0,-1.7449748351250824,-49.969541350954785,-15,3.488532089142465,-0.12182222494951153,0,0.008504795709896637,0.24354548406804938,0,0,70,nan,nan,nan
