idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1871,177.42842712474618,26.825312837744335,-8.490777374465242,-20,0.9681748393130729,0.8809713200901272,0,-0.04612755045364077,0.050693516042940465,0,0,70,nan,nan,nan
1872,177.5284271247462,26.921899242066512,-8.402427177993363,-20,0.9635488338434184,0.8860285723943807,0,-0.04639234756508064,0.05045129896295825,0,0,70,nan,nan,nan
1873,177.6284271247462,27.01802172397295,-8.313572469684463,-20,0.95889641219575,0.8910615337777487,0,-0.04665587280687715,0.05020769873512963,0,0,70,nan,nan,nan
1874,177.7284271247462,27.113677648217216,-8.224215685535288,-20,0.9542177019185589,0.896070066259051,0,-0.04691811895435256,0.049962722037878,0,0,70,nan,nan,nan
1875,177.82842712474618,27.20886439234386,-8.134359275307183,-20,0.9495128312810496,0.9010540325268407,0,-0.04717907881789636,0.049716375587363165,0,0,70,nan,nan,nan
1876,177.92842712474618,27.303579346760174,-8.04400570245905,-20,0.944781929269628,0.9060132959431638,0,-0.04743874524316198,0.049468666137297584,0,0,70,nan,nan,nan
1877,178.0284271247462,27.397819914807855,-7.9531574440797215,-20,0.9400251255843627,0.9109477205473092,0,-0.04769711111126324,0.04921960047876094,0,0,70,nan,nan,nan
1878,178.1284271247462,27.491583512834143,-7.861816990820074,-20,0.9352425506354282,0.9158571710595349,0,-0.04795416933896942,0.048969185440014024,0,0,70,nan,nan,nan
1879,178.2284271247462,27.5848675702626,-7.7699868468248106,-20,0.9304343355395346,0.9207415128847729,0,-0.048209912878899246,0.048717427886311705,0,0,70,nan,nan,nan
1880,178.32842712474618,27.677669529663685,-7.677669529663692,-20,0.9256006121163265,0.9256006121163262,0,-0.048464334719714425,0.04846433471971445,0,0,70,nan,nan,nan
1881,178.42842712474618,27.769986846824803,-7.58486757026261,-20,0.9207415128847736,0.9304343355395343,0,-0.04871742788631169,0.048209912878899266,0,0,70,nan,nan,nan
1882,178.5284271247462,27.861816990820085,-7.491583512834136,-20,0.9158571710595346,0.9352425506354287,0,-0.048969185440014044,0.047954169338969406,0,0,70,nan,nan,nan
1883,178.6284271247462,27.953157444079732,-7.397819914807847,-20,0.9109477205473089,0.9400251255843632,0,-0.04921960047876097,0.04769711111126323,0,0,70,nan,nan,nan
1884,178.7284271247462,28.04400570245906,-7.303579346760163,-20,0.9060132959431633,0.9447819292696287,0,-0.04946866613729761,0.04743874524316195,0,0,70,nan,nan,nan
1885,178.82842712474618,28.13435927530719,-7.208864392343852,-20,0.9010540325268404,0.9495128312810499,0,-0.049716375587363186,0.04717907881789634,0,0,70,nan,nan,nan
1886,178.92842712474618,28.22421568553528,-7.113677648217223,-20,0.8960700662590513,0.9542177019185586,0,-0.04996272203787797,0.04691811895435258,0,0,70,nan,nan,nan
1887,179.0284271247462,28.31357246968446,-7.018021723972961,-20,0.8910615337777493,0.9588964121957496,0,-0.05020769873512962,0.04665587280687718,0,0,70,nan,nan,nan
1888,179.1284271247462,28.40242717799337,-6.921899242066505,-20,0.8860285723943804,0.9635488338434187,0,-0.05045129896295827,0.04639234756508062,0,0,70,nan,nan,nan
1889,179.2284271247462,28.49077737446525,-6.8253128377443275,-20,0.8809713200901269,0.9681748393130732,0,-0.050693516042940485,0.04612755045364075,0,0,70,nan,nan,nan
1890,179.32842712474618,28.578620636934858,-6.728265158971453,-20,0.8758899155121135,0.9727743017804379,0,-0.05093434333457274,0.04586148873210401,0,0,70,nan,nan,nan
1891,179.42842712474618,28.665954557134796,-6.63075886635901,-20,0.870784497969613,0.9773470951489266,0,-0.05117377423545321,0.04559416969468687,0,0,70,nan,nan,nan
