idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
751,71.1,14.14213562373095,12.193663604461351,-15,0,0.6285393610547089,0,-0.00599864912593155,0,0,0,70,nan,nan,nan
752,71.2,14.14213562373095,12.13080966835588,-15,0,0.6285393610547089,0,-0.006188975606060912,0,0,0,70,nan,nan,nan
753,71.30000000000001,14.14213562373095,12.06795573225041,-15,0,0.6285393610547089,0,-0.0063790004442506,0,0,0,70,nan,nan,nan
754,71.4,14.14213562373095,12.00510179614494,-15,0,0.6285393610547089,0,-0.006568714378958051,0,0,0,70,nan,nan,nan
755,71.5,14.14213562373095,11.942247860039469,-15,0,0.6285393610547089,0,-0.0067581081637937334,0,0,0,70,nan,nan,nan
756,71.6,14.14213562373095,11.879393923933996,-15,0,0.6285393610547089,0,-0.006947172567971806,0,0,0,70,nan,nan,nan
757,71.7,14.14213562373095,11.816539987828527,-15,0,0.6285393610547089,0,-0.007135898376759888,0,0,0,70,nan,nan,nan
758,71.80000000000001,14.14213562373095,11.753686051723056,-15,0,0.6285393610547089,0,-0.007324276391928363,0,0,0,70,nan,nan,nan
759,71.9,14.14213562373095,11.690832115617585,-15,0,0.6285393610547089,0,-0.007512297432198509,0,0,0,70,nan,nan,nan
760,72.0,14.14213562373095,11.627978179512114,-15,0,0.6285393610547089,0,-0.007699952333690044,0,0,0,70,nan,nan,nan
761,72.1,14.14213562373095,11.565124243406641,-15,0,0.6285393610547089,0,-0.007887231950367873,0,0,0,70,nan,nan,nan
762,72.2,14.14213562373095,11.502270307301172,-15,0,0.6285393610547089,0,-0.008074127154487675,0,0,0,70,nan,nan,nan
763,72.30000000000001,14.14213562373095,11.439416371195701,-15,0,0.6285393610547089,0,-0.00826062883704084,0,0,0,70,nan,nan,nan
764,72.4,14.14213562373095,11.37656243509023,-15,0,0.6285393610547089,0,-0.00844672790819852,0,0,0,70,nan,nan,nan
765,72.5,14.14213562373095,11.31370849898476,-15,0,0.6285393610547089,0,-0.008632415297754499,0,0,0,70,nan,nan,nan
766,72.6,14.14213562373095,11.250854562879288,-15,0,0.6285393610547089,0,-0.008817681955567373,0,0,0,70,nan,nan,nan
767,72.7,14.14213562373095,11.188000626773817,-15,0,0.6285393610547089,0,-0.009002518852001653,0,0,0,70,nan,nan,nan
768,72.80000000000001,14.14213562373095,11.125146690668346,-15,0,0.6285393610547089,0,-0.00918691697836772,0,0,0,70,nan,nan,nan
769,72.9,14.14213562373095,11.062292754562877,-15,0,0.6285393610547089,0,-0.009370867347361094,0,0,0,70,nan,nan,nan
770,73.0,14.14213562373095,10.999438818457405,-15,0,0.6285393610547089,0,-0.009554360993500256,0,0,0,70,nan,nan,nan
771,73.1,14.14213562373095,10.936584882351934,-15,0,0.6285393610547089,0,-0.009737388973563797,0,0,0,70,nan,nan,nan
772,73.2,14.14213562373095,10.873730946246464,-15,0,0.6285393610547089,0,-0.009919942367026176,0,0,0,70,nan,nan,nan
773,73.30000000000001,14.14213562373095,10.810877010140993,-15,0,0.6285393610547089,0,-0.010102012276492548,0,0,0,70,nan,nan,nan
774,73.4,14.14213562373095,10.74802307403552,-15,0,0.6285393610547089,0,-0.010283589828132366,0,0,0,70,nan,nan,nan
775,73.5,14.14213562373095,10.68516913793005,-15,0,0.6285393610547089,0,-0.010464666172111932,0,0,0,70,nan,nan,nan
776,73.6,14.14213562373095,10.622315201824579,-15,0,0.6285393610547089,0,-0.010645232483025732,0,0,0,70,nan,nan,nan
777,73.7,14.14213562373095,10.559461265719108,-15,0,0.6285393610547089,0,-0.01082527996032647,0,0,0,70,nan,nan,nan
778,73.80000000000001,14.14213562373095,10.496607329613639,-15,0,0.6285393610547089,0,-0.01100479982875416,0,0,0,70,nan,nan,nan
779,73.9,14.14213562373095,10.433753393508166,-15,0,0.6285393610547089,0,-0.011183783338763627,0,0,0,70,nan,nan,nan
780,74.0,14.14213562373095,10.370899457402697,-15,0,0.6285393610547089,0,-0.01136222176695113,0,0,0,70,nan,nan,nan
781,74.1,14.14213562373095,10.308045521297226,-15,0,0.6285393610547089,0,-0.011540106416479436,0,0,0,70,nan,nan,nan
782,74.2,14.14213562373095,10.245191585191755,-15,0,0.6285393610547089,0,-0.011717428617501656,0,0,0,70,nan,nan,nan
783,74.30000000000001,14.14213562373095,10.182337649086284,-15,0,0.6285393610547089,0,-0.011894179727583883,0,0,0,70,nan,nan,nan
784,74.4,14.14213562373095,10.119483712980811,-15,0,0.6285393610547089,0,-0.012070351132126386,0,0,0,70,nan,nan,nan
785,74.5,14.14213562373095,10.056629776875342,-15,0,0.6285393610547089,0,-0.0122459342447834,0,0,0,70,nan,nan,nan
786,74.6,14.14213562373095,9.993775840769871,-15,0,0.6285393610547089,0,-0.012420920507881794,0,0,0,70,nan,nan,nan
787,74.7,14.14213562373095,9.930921904664402,-15,0,0.6285393610547089,0,-0.012595301392837937,0,0,0,70,nan,nan,nan
788,74.80000000000001,14.14213562373095,9.868067968558929,-15,0,0.6285393610547089,0,-0.012769068400573494,0,0,0,70,nan,nan,nan
789,74.9,14.14213562373095,9.805214032453458,-15,0,0.6285393610547089,0,-0.012942213061929697,0,0,0,70,nan,nan,nan
790,75.0,14.14213562373095,9.742360096347987,-15,0,0.6285393610547089,0,-0.013114726938079977,0,0,0,70,nan,nan,nan
791,75.1,14.14213562373095,9.679506160242516,-15,0,0.6285393610547089,0,-0.013286601620941427,0,0,0,70,nan,nan,nan
792,75.2,14.14213562373095,9.616652224137045,-15,0,0.6285393610547089,0,-0.013457828733584472,0,0,0,70,nan,nan,nan
793,75.30000000000001,14.14213562373095,9.553798288031574,-15,0,0.6285393610547089,0,-0.013628399930641208,0,0,0,70,nan,nan,nan
794,75.4,14.14213562373095,9.490944351926103,-15,0,0.6285393610547089,0,-0.013798306898712129,0,0,0,70,nan,nan,nan
795,75.5,14.14213562373095,9.428090415820634,-15,0,0.6285393610547089,0,-0.013967541356771312,0,0,0,70,nan,nan,nan
796,75.6,14.14213562373095,9.365236479715163,-15,0,0.6285393610547089,0,-0.01413609505657002,0,0,0,70,nan,nan,nan
797,75.7,14.14213562373095,9.302382543609692,-15,0,0.6285393610547089,0,-0.014303959783038746,0,0,0,70,nan,nan,nan
798,75.80000000000001,14.14213562373095,9.23952860750422,-15,0,0.6285393610547089,0,-0.014471127354687502,0,0,0,70,nan,nan,nan
799,75.9,14.14213562373095,9.176674671398748,-15,0,0.6285393610547089,0,-0.014637589624004731,0,0,0,70,nan,nan,nan
800,76.0,14.14213562373095,9.113820735293277,-15,0,0.6285393610547089,0,-0.014803338477854222,0,0,0,70,nan,nan,nan
801,76.1,14.14213562373095,9.050966799187808,-15,0,0.6285393610547089,0,-0.014968365837870708,0,0,0,70,nan,nan,nan
802,76.2,14.14213562373095,8.988112863082337,-15,0,0.6285393610547089,0,-0.01513266366085348,0,0,0,70,nan,nan,nan
803,76.30000000000001,14.14213562373095,8.925258926976866,-15,0,0.6285393610547089,0,-0.015296223939158417,0,0,0,70,nan,nan,nan
804,76.4,14.14213562373095,8.862404990871395,-15,0,0.6285393610547089,0,-0.015459038701088315,0,0,0,70,nan,nan,nan
805,76.5,14.14213562373095,8.799551054765924,-15,0,0.6285393610547089,0,-0.015621100011281362,0,0,0,70,nan,nan,nan
806,76.6,14.14213562373095,8.736697118660453,-15,0,0.6285393610547089,0,-0.01578239997109796,0,0,0,70,nan,nan,nan
807,76.7,14.14213562373095,8.67384318255498,-15,0,0.6285393610547089,0,-0.0159429307190056,0,0,0,70,nan,nan,nan
808,76.80000000000001,14.14213562373095,8.61098924644951,-15,0,0.6285393610547089,0,-0.01610268443096213,0,0,0,70,nan,nan,nan
809,76.9,14.14213562373095,8.54813531034404,-15,0,0.6285393610547089,0,-0.016261653320796977,0,0,0,70,nan,nan,nan
810,77.0,14.14213562373095,8.48528137423857,-15,0,0.6285393610547089,0,-0.01641982964059075,0,0,0,70,nan,nan,nan
811,77.1,14.14213562373095,8.4224274381331,-15,0,0.6285393610547089,0,-0.016577205681052764,0,0,0,70,nan,nan,nan
812,77.2,14.14213562373095,8.359573502027628,-15,0,0.6285393610547089,0,-0.01673377377189683,0,0,0,70,nan,nan,nan
813,77.30000000000001,14.14213562373095,8.296719565922157,-15,0,0.6285393610547089,0,-0.016889526282215104,0,0,0,70,nan,nan,nan
814,77.4,14.14213562373095,8.233865629816686,-15,0,0.6285393610547089,0,-0.017044455620849937,0,0,0,70,nan,nan,nan
815,77.5,14.14213562373095,8.171011693711215,-15,0,0.6285393610547089,0,-0.01719855423676393,0,0,0,70,nan,nan,nan
816,77.6,14.14213562373095,8.108157757605744,-15,0,0.6285393610547089,0,-0.017351814619407994,0,0,0,70,nan,nan,nan
817,77.7,14.14213562373095,8.045303821500273,-15,0,0.6285393610547089,0,-0.017504229299087265,0,0,0,70,nan,nan,nan
818,77.80000000000001,14.14213562373095,7.982449885394804,-15,0,0.6285393610547089,0,-0.01765579084732527,0,0,0,70,nan,nan,nan
819,77.9,14.14213562373095,7.919595949289333,-15,0,0.6285393610547089,0,-0.017806491877225994,0,0,0,70,nan,nan,nan
820,78.0,14.14213562373095,7.856742013183861,-15,0,0.6285393610547089,0,-0.01795632504383382,0,0,0,70,nan,nan,nan
821,78.1,14.14213562373095,7.79388807707839,-15,0,0.6285393610547089,0,-0.01810528304449162,0,0,0,70,nan,nan,nan
822,78.2,14.14213562373095,7.731034140972919,-15,0,0.6285393610547089,0,-0.01825335861919657,0,0,0,70,nan,nan,nan
823,78.30000000000001,14.14213562373095,7.668180204867447,-15,0,0.6285393610547089,0,-0.01840054455095407,0,0,0,70,nan,nan,nan
824,78.4,14.14213562373095,7.605326268761978,-15,0,0.6285393610547089,0,-0.018546833666129463,0,0,0,70,nan,nan,nan
825,78.5,14.14213562373095,7.542472332656506,-15,0,0.6285393610547089,0,-0.01869221883479763,0,0,0,70,nan,nan,nan
826,78.6,14.14213562373095,7.479618396551037,-15,0,0.6285393610547089,0,-0.018836692971090578,0,0,0,70,nan,nan,nan
827,78.7,14.14213562373095,7.416764460445565,-15,0,0.6285393610547089,0,-0.01898024903354274,0,0,0,70,nan,nan,nan
828,78.80000000000001,14.14213562373095,7.353910524340094,-15,0,0.6285393610547089,0,-0.01912288002543415,0,0,0,70,nan,nan,nan
829,78.9,14.14213562373095,7.291056588234623,-15,0,0.6285393610547089,0,-0.019264578995131457,0,0,0,70,nan,nan,nan
830,79.0,14.14213562373095,7.228202652129151,-15,0,0.6285393610547089,0,-0.01940533903642682,0,0,0,70,nan,nan,nan
831,79.1,14.14213562373095,7.16534871602368,-15,0,0.6285393610547089,0,-0.019545153288874396,0,0,0,70,nan,nan,nan
832,79.2,14.14213562373095,7.10249477991821,-15,0,0.6285393610547089,0,-0.019684014938124775,0,0,0,70,nan,nan,nan
833,79.30000000000001,14.14213562373095,7.039640843812739,-15,0,0.6285393610547089,0,-0.01982191721625707,0,0,0,70,nan,nan,nan
834,79.4,14.14213562373095,6.976786907707267,-15,0,0.6285393610547089,0,-0.0199588534021088,0,0,0,70,nan,nan,nan
835,79.5,14.14213562373095,6.913932971601798,-15,0,0.6285393610547089,0,-0.020094816821603443,0,0,0,70,nan,nan,nan
836,79.6,14.14213562373095,6.851079035496326,-15,0,0.6285393610547089,0,-0.02022980084807578,0,0,0,70,nan,nan,nan
